CLIENTNUM,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio,Months_Inactive_12_mon,credit_rank
716644008,34516,9931,0,3,1
708564858,34516,9338,0,1,2
710178558,34516,9314,0.073,3,3
720353808,34516,9177,0,2,4
754443033,34516,9045,0.013,3,5
757291008,34516,8964,0.008,3,6
712895733,34516,8659,0.017,3,7
712768983,34516,8629,0.007,4,8
710047533,34516,8614,0.064,3,9
712766208,34516,8603,0,2,10
716863458,34516,8570,0.016,3,11
715645908,34516,8480,0,2,12
719629308,34516,8472,0.052,2,13
708948483,34516,8444,0.022,3,14
714136233,34516,8417,0,2,15
714391683,34516,8248,0.073,3,16
768712383,34516,8173,0,3,17
714959358,34516,8045,0.066,3,18
715321008,34516,7866,0.073,3,19
789684258,34516,7842,0.054,3,20
713242383,34516,7721,0.023,1,21
826245858,34516,7661,0,4,22
716124408,34516,7486,0.049,2,23
715830558,34516,7454,0.012,2,24
758753283,34516,7341,0.016,3,25
712841883,34516,7155,0.073,3,26
713390433,34516,6782,0.073,3,27
710980383,34516,6361,0,2,28
718376583,34516,5806,0.022,3,29
718113633,34516,5603,0,2,30
718353633,34516,5547,0,3,31
717696333,34516,5425,0,3,32
714190983,34516,5418,0.015,3,33
714145233,34516,5112,0.012,2,34
780450708,34516,4864,0,3,35
714342033,34516,4863,0,3,36
811700058,34516,4822,0.02,3,37
788943333,34516,4810,0.029,2,38
718304583,34516,4805,0.031,3,39
770842833,34516,4777,0.037,3,40
711854808,34516,4734,0,2,41
807393558,34516,4615,0.037,3,42
719071158,34516,3901,0,2,43
718458858,34516,3526,0,3,44
813053733,34516,3029,0.008,3,45
809464608,34516,2691,0.073,3,46
808747233,34516,2573,0,3,47
711205758,34516,2534,0,3,48
715664808,34516,2427,0,3,49
720815208,34516,2395,0.006,3,50
